priority_rank,content_id,client_id,rf_score,impressions_90d,days_since_last_update,avg_position,reason_code,recommended_action
1,content_d225ec9f3d46,client_f369cb89fc,0.7929001386884225,26470,20,0.7,low_volume_deep_serp,monitor_or_prune
2,content_2a57f2016a14,client_bbb965ab0c,0.781214579819923,2324,15,0.6,low_volume_deep_serp,monitor_or_prune
3,content_6973328a6bb8,client_7f2253d7e2,0.7741216651117654,16512,20,1.0,striking_distance_ctr_gap,title_meta_ctr_rewrite
4,content_92c274459342,client_7f2253d7e2,0.771988341742164,14099,106,26.0,low_volume_deep_serp,monitor_or_prune
5,content_3547f4b6cb23,client_7f2253d7e2,0.7707873818044648,23274,20,17.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
6,content_4500346533b1,client_3fdba35f04,0.7700703440780556,705,104,3.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
7,content_2744dcacbe42,client_3fdba35f04,0.7695698619013888,353,104,3.6,striking_distance_ctr_gap,title_meta_ctr_rewrite
8,content_5cda32af644c,client_3fdba35f04,0.7694204787729341,720,104,3.0,striking_distance_ctr_gap,title_meta_ctr_rewrite
9,content_655e0433ba5e,client_7f2253d7e2,0.7685150150277221,28732,20,20.8,low_volume_deep_serp,monitor_or_prune
10,content_f552433bab3c,client_3fdba35f04,0.7675438551667579,337,104,1.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
11,content_20e4b9f7f65e,client_7f2253d7e2,0.7672015867017392,12992,20,15.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
12,content_cddd5aa6c5be,client_7f2253d7e2,0.7672015867017392,12732,20,13.6,striking_distance_ctr_gap,title_meta_ctr_rewrite
13,content_4a3f315edc64,client_7f2253d7e2,0.7670176594854378,32664,20,20.2,low_volume_deep_serp,monitor_or_prune
14,content_b005f46f2e4c,client_3fdba35f04,0.7663771472872447,673,104,2.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
15,content_8dba22b835f8,client_3fdba35f04,0.7661891481148259,1192,104,21.9,low_volume_deep_serp,monitor_or_prune
16,content_fac9e8c13f4c,client_3fdba35f04,0.7661891481148259,858,104,17.4,striking_distance_ctr_gap,title_meta_ctr_rewrite
17,content_9428850c5661,client_3fdba35f04,0.7661891481148259,2145,104,27.3,low_volume_deep_serp,monitor_or_prune
18,content_6c8509f56acd,client_3fdba35f04,0.7660001548170186,646,104,14.5,striking_distance_ctr_gap,title_meta_ctr_rewrite
19,content_3e5ea1d9ee75,client_3fdba35f04,0.7658859316449775,2870,104,22.1,low_volume_deep_serp,monitor_or_prune
20,content_47b8b12d581e,client_7f2253d7e2,0.7658284234776525,40305,106,28.4,low_volume_deep_serp,monitor_or_prune
21,content_e04eb9549989,client_3fdba35f04,0.7653157304919618,3393,104,3.6,striking_distance_ctr_gap,title_meta_ctr_rewrite
22,content_267d8cf80905,client_7f2253d7e2,0.7653120386796571,20947,20,16.0,striking_distance_ctr_gap,title_meta_ctr_rewrite
