rank,content_id,client_id,impressions_90d,days_since_last_update,avg_position,ctr,baseline_score,reason_code,action_label,is_declining_label
1,content_cf56e2e2e282,client_7f2253d7e2,61678,194,19.7,0.15,16.544548193092528,stale_visible_page,content_refresh_audit,1
2,content_0a91db491d14,client_7f2253d7e2,13299,193,10.5,0.49,14.24327897131477,stale_visible_page,content_refresh_audit,1
3,content_c2d929d83eaa,client_7f2253d7e2,7558,193,17.9,0.2,13.395741277938267,stale_visible_page,content_refresh_audit,1
4,content_fe16a55cd13d,client_7f2253d7e2,4556,194,16.4,0.33,12.636629686895825,stale_visible_page,content_refresh_audit,1
5,content_928af3e22c80,client_7f2253d7e2,1697,193,15.8,0.12,11.155809550306937,stale_visible_page,content_refresh_audit,1
6,content_7368877ea310,client_7f2253d7e2,59472,194,24.8,0.13,10.993277707031128,stale_visible_page,content_refresh_audit,1
7,content_e3ff1b093148,client_d029fa3a95,1408,183,7.8,0.28,10.87595326784802,stale_visible_page,content_refresh_audit,1
8,content_7f116ae1f6f5,client_9400f1b21c,954,301,9.0,0.42,10.292567010721095,stale_visible_page,content_refresh_audit,1
9,content_1bfaa38ff26c,client_7f2253d7e2,25715,194,22.2,0.23,10.154868645261578,stale_visible_page,content_refresh_audit,1
10,content_77d4d5930e5e,client_7f2253d7e2,828,194,18.6,0.24,10.080330232702943,stale_visible_page,content_refresh_audit,1
11,content_72496874f806,client_4ec9599fc2,821,301,5.8,0.24,10.06761059258427,stale_visible_page,content_refresh_audit,1
12,content_6226ee6adc91,client_d029fa3a95,545,183,17.8,0.18,9.453928463617357,stale_visible_page,content_refresh_audit,1
13,content_5feee3994adb,client_7f2253d7e2,7812,194,39.0,0.01,8.963544291996744,stale_visible_page,content_refresh_audit,1
14,content_b16bd7307b39,client_7f2253d7e2,4590,194,31.0,0.0,8.431853144249223,stale_visible_page,content_refresh_audit,1
15,content_ecb6215e79fd,client_7f2253d7e2,4429,194,25.3,0.38,8.39615486303918,stale_visible_page,content_refresh_audit,1
16,content_bdbec75c1148,client_7f2253d7e2,1316,194,21.8,0.15,7.183111701743281,stale_visible_page,content_refresh_audit,0
17,content_074ba6ead17b,client_d029fa3a95,533,183,48.0,0.0,6.280395838960195,stale_visible_page,content_refresh_audit,1
18,content_c87291853cab,client_d029fa3a95,112,20,8.2,0.0,0.0,general_monitoring,title_meta_rewrite,1
19,content_3dc420aa9809,client_7f2253d7e2,22425,20,7.6,0.01,0.0,low_ctr_visible_page,title_meta_rewrite,1
20,content_6f2f3043b633,client_6208ef0f77,6392,20,41.9,0.16,0.0,low_ctr_visible_page,title_meta_rewrite,1
21,content_81a91fe32bc2,client_e629fa6598,1508,22,15.3,0.66,0.0,general_monitoring,monitor_performance,0
22,content_2dfd17269502,client_d4735e3a26,3,20,10.3,0.0,0.0,general_monitoring,title_meta_rewrite,0
23,content_fe5d259e6bc5,client_19581e27de,1573,104,37.1,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
24,content_6880eb215048,client_19581e27de,2845,104,6.8,0.0,0.0,page_one_decay_risk,title_meta_rewrite,1
25,content_78bd1d4a1d4d,client_6208ef0f77,13848,104,8.9,0.15,0.0,page_one_decay_risk,title_meta_rewrite,1
26,content_761a44afda12,client_19581e27de,9449,22,7.3,0.07,0.0,low_ctr_visible_page,title_meta_rewrite,1
27,content_0b360eb9db55,client_349c41201b,5141,20,11.4,0.14,0.0,low_ctr_visible_page,title_meta_rewrite,1
28,content_af865035b328,client_f369cb89fc,99,20,6.9,2.02,0.0,general_monitoring,monitor_performance,1
29,content_0d748c484ab1,client_f369cb89fc,2538,20,5.6,0.55,0.0,general_monitoring,monitor_performance,1
30,content_9d548144b06d,client_6208ef0f77,86,20,12.6,0.0,0.0,general_monitoring,title_meta_rewrite,0
31,content_3fb46bec4413,client_4e07408562,2311,7,3.9,0.13,0.0,low_ctr_visible_page,title_meta_rewrite,1
32,content_2da6ae9d0882,client_e629fa6598,297,20,13.9,0.34,0.0,general_monitoring,title_meta_rewrite,1
33,content_0e23e310d404,client_19581e27de,29541,104,4.1,0.27,0.0,page_one_decay_risk,title_meta_rewrite,1
34,content_033ae3e7aecf,client_f369cb89fc,27,20,7.2,0.0,0.0,general_monitoring,title_meta_rewrite,1
35,content_72c5c2d73e5a,client_4e07408562,2426,13,30.0,0.12,0.0,low_ctr_visible_page,title_meta_rewrite,0
36,content_7ea135180dd9,client_4ec9599fc2,1197,104,8.1,0.17,0.0,page_one_decay_risk,title_meta_rewrite,1
37,content_19ad8f9bac29,client_3fdba35f04,315,20,59.3,0.0,0.0,general_monitoring,title_meta_rewrite,1
38,content_ba8e51f13800,client_d59eced1de,19,20,16.5,0.0,0.0,general_monitoring,title_meta_rewrite,0
39,content_249298388b45,client_2c624232cd,176,22,50.4,0.0,0.0,general_monitoring,title_meta_rewrite,0
40,content_24ee79621dbf,client_19581e27de,1959,22,42.0,0.1,0.0,low_ctr_visible_page,title_meta_rewrite,0
41,content_5eeba5d398f2,client_bbb965ab0c,607,20,28.3,0.66,0.0,general_monitoring,monitor_performance,1
42,content_d87a116e2c79,client_19581e27de,298,22,6.8,0.0,0.0,general_monitoring,title_meta_rewrite,0
43,content_55f75c034970,client_d029fa3a95,3998,8,6.4,0.03,0.0,low_ctr_visible_page,title_meta_rewrite,0
44,content_1a28b25c7128,client_6208ef0f77,19790,104,24.8,0.03,0.0,low_ctr_visible_page,title_meta_rewrite,1
45,content_bce275871a25,client_f369cb89fc,371,20,5.4,1.35,0.0,general_monitoring,monitor_performance,0
46,content_724a2783045d,client_4e07408562,187,13,11.5,1.07,0.0,general_monitoring,monitor_performance,1
47,content_dbe82879a406,client_6208ef0f77,26457,104,33.3,0.12,0.0,low_ctr_visible_page,title_meta_rewrite,1
48,content_4595e8704e07,client_8527a891e2,4,104,36.3,0.0,0.0,general_monitoring,title_meta_rewrite,1
49,content_4df0b7207fe3,client_9f14025af0,1700,151,49.6,1.65,0.0,general_monitoring,monitor_performance,0
50,content_e45a618f6b32,client_7f2253d7e2,231,20,11.0,0.0,0.0,general_monitoring,title_meta_rewrite,1
51,content_3223b1640f5a,client_a88a7902cb,157,28,6.8,1.27,0.0,general_monitoring,monitor_performance,1
52,content_1938955b34c4,client_f369cb89fc,184,20,2.9,0.0,0.0,general_monitoring,title_meta_rewrite,1
53,content_793b7376a0e5,client_8527a891e2,64,20,55.8,0.0,0.0,general_monitoring,title_meta_rewrite,1
54,content_2a6383ed421f,client_7f2253d7e2,691,20,10.8,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,1
55,content_c59d46264834,client_19581e27de,1193,104,6.1,0.08,0.0,page_one_decay_risk,title_meta_rewrite,1
56,content_40cb4af260c0,client_f369cb89fc,8,20,25.5,0.0,0.0,general_monitoring,title_meta_rewrite,1
57,content_326fa2fa449f,client_98a3ab7c34,4,1,8.3,0.0,0.0,general_monitoring,title_meta_rewrite,1
58,content_f0717373e86e,client_8527a891e2,9,8,10.1,0.0,0.0,general_monitoring,title_meta_rewrite,1
59,content_fe4e6c1a622c,client_19581e27de,6971,20,11.9,0.01,0.0,low_ctr_visible_page,title_meta_rewrite,1
60,content_d8a23b5e10c5,client_f369cb89fc,2,8,7.5,0.0,0.0,general_monitoring,title_meta_rewrite,1
61,content_a4cd54c0a5f1,client_3fdba35f04,416,20,10.8,0.0,0.0,general_monitoring,title_meta_rewrite,1
62,content_42f79b19d0e4,client_349c41201b,3063,20,5.8,0.2,0.0,low_ctr_visible_page,title_meta_rewrite,0
63,content_ff8ea1364b59,client_e629fa6598,170,22,10.7,0.0,0.0,general_monitoring,title_meta_rewrite,1
64,content_a519180b7a3f,client_6208ef0f77,10934,104,16.6,0.55,0.0,general_monitoring,monitor_performance,0
65,content_dcebfd222b10,client_f369cb89fc,16,20,4.6,0.0,0.0,general_monitoring,title_meta_rewrite,0
66,content_8180f9c9cbf0,client_3fdba35f04,73667,26,8.3,0.34,0.0,low_ctr_visible_page,title_meta_rewrite,1
67,content_caff51984338,client_e629fa6598,71,20,9.1,0.0,0.0,general_monitoring,title_meta_rewrite,1
68,content_9484b0bf3da3,client_19581e27de,790,22,29.4,0.25,0.0,low_ctr_visible_page,title_meta_rewrite,0
69,content_b9104a222d01,client_f369cb89fc,25,20,6.2,4.0,0.0,general_monitoring,monitor_performance,1
70,content_d99c66ea5462,client_d4735e3a26,9,20,2.0,11.11,0.0,general_monitoring,monitor_performance,0
71,content_ea379287633b,client_6208ef0f77,38542,104,33.4,0.05,0.0,low_ctr_visible_page,title_meta_rewrite,1
72,content_d5d3c2e98937,client_f74efabef1,63,20,28.9,0.0,0.0,general_monitoring,title_meta_rewrite,1
73,content_685de0e3b7cb,client_f369cb89fc,2639,8,7.2,0.11,0.0,low_ctr_visible_page,title_meta_rewrite,0
74,content_d20b4e742dc6,client_19581e27de,19900,104,5.8,0.09,0.0,page_one_decay_risk,title_meta_rewrite,1
75,content_d512773c9590,client_3fdba35f04,116,104,6.8,0.0,0.0,page_one_decay_risk,title_meta_rewrite,1
76,content_9042a5355ff7,client_624b60c58c,32,8,5.0,0.0,0.0,general_monitoring,title_meta_rewrite,1
77,content_6bc2ec5f6061,client_a88a7902cb,124,8,23.0,0.81,0.0,general_monitoring,monitor_performance,1
78,content_95d488a56079,client_f74efabef1,564,8,12.1,0.89,0.0,general_monitoring,monitor_performance,0
79,content_db4fa641ed85,client_e29c9c180c,1,20,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
80,content_ced59bb3a1a6,client_d4735e3a26,3,20,2.7,0.0,0.0,general_monitoring,title_meta_rewrite,0
81,content_241a64ee5264,client_19581e27de,7261,104,16.4,0.14,0.0,low_ctr_visible_page,title_meta_rewrite,0
82,content_1899e63c5e5d,client_e29c9c180c,13,20,5.5,0.0,0.0,general_monitoring,title_meta_rewrite,0
83,content_1e53ea7dbee8,client_6208ef0f77,7814,104,30.1,0.06,0.0,low_ctr_visible_page,title_meta_rewrite,0
84,content_b17dd18b28df,client_19581e27de,366,104,27.4,0.0,0.0,general_monitoring,title_meta_rewrite,0
85,content_5607fec5d7db,client_f369cb89fc,22,20,8.9,0.0,0.0,general_monitoring,title_meta_rewrite,1
86,content_f0fe2fb240b3,client_19581e27de,7643,104,5.4,0.1,0.0,page_one_decay_risk,title_meta_rewrite,0
87,content_dea0d86223f3,client_8527a891e2,59,92,8.7,0.0,0.0,page_one_decay_risk,title_meta_rewrite,0
88,content_2a9c18d54fdf,client_d029fa3a95,70,20,21.7,0.0,0.0,general_monitoring,title_meta_rewrite,1
89,content_7edbff0f64f6,client_19581e27de,1011,22,22.9,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
90,content_16788821b64a,client_e629fa6598,320,22,9.6,0.31,0.0,general_monitoring,title_meta_rewrite,1
91,content_ec6fce716c78,client_4e07408562,1810,13,8.3,0.44,0.0,low_ctr_visible_page,title_meta_rewrite,0
92,content_9f96edc42b03,client_3fdba35f04,2731,20,23.2,0.04,0.0,low_ctr_visible_page,title_meta_rewrite,1
93,content_5458b7cf0d93,client_19581e27de,136,104,8.1,0.0,0.0,page_one_decay_risk,title_meta_rewrite,1
94,content_b1522b7b78cf,client_19581e27de,468,22,46.2,0.0,0.0,general_monitoring,title_meta_rewrite,0
95,content_0c6e9f332513,client_6208ef0f77,4975,104,40.4,0.02,0.0,low_ctr_visible_page,title_meta_rewrite,1
96,content_673a94d2fb58,client_19581e27de,3893,22,8.6,0.31,0.0,low_ctr_visible_page,title_meta_rewrite,1
97,content_998f6f88784c,client_f74efabef1,12053,8,2.6,0.02,0.0,low_ctr_visible_page,title_meta_rewrite,1
98,content_2aaf95ecd542,client_19581e27de,190,104,54.7,0.0,0.0,general_monitoring,title_meta_rewrite,0
99,content_abfa53fe7911,client_e629fa6598,261,22,10.6,0.38,0.0,general_monitoring,title_meta_rewrite,1
100,content_48724397d104,client_d4735e3a26,38,211,2.5,5.26,0.0,page_one_decay_risk,content_refresh_audit,1
101,content_56678f8baf9f,client_3fdba35f04,1307,104,6.4,0.61,0.0,page_one_decay_risk,monitor_performance,1
102,content_b85fd20a1e08,client_19581e27de,21544,20,5.9,0.28,0.0,low_ctr_visible_page,title_meta_rewrite,0
103,content_9983d31c53cb,client_4e07408562,7737,7,5.5,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,1
104,content_bd88c0384e51,client_349c41201b,3039,20,6.3,0.56,0.0,general_monitoring,monitor_performance,1
105,content_600405887c39,client_4e07408562,1197,13,21.4,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
106,content_88b02797ac10,client_3fdba35f04,67,104,52.9,0.0,0.0,general_monitoring,title_meta_rewrite,1
107,content_934b44fce2c4,client_19581e27de,167,22,10.1,0.0,0.0,general_monitoring,title_meta_rewrite,0
108,content_359c9bc71718,client_7f2253d7e2,2359,20,24.4,0.25,0.0,low_ctr_visible_page,title_meta_rewrite,1
109,content_cc97c093c379,client_a88a7902cb,184,20,11.9,3.26,0.0,general_monitoring,monitor_performance,0
110,content_6cff33402941,client_9f14025af0,1,20,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
111,content_95f489ab52f2,client_3fdba35f04,11663,26,16.5,0.22,0.0,low_ctr_visible_page,title_meta_rewrite,1
112,content_dd56958385a4,client_8527a891e2,60,104,15.4,0.0,0.0,general_monitoring,title_meta_rewrite,1
113,content_09afda832f06,client_6208ef0f77,13017,104,9.9,1.81,0.0,page_one_decay_risk,monitor_performance,0
114,content_1f5c2cb9d552,client_6208ef0f77,11931,104,15.5,0.47,0.0,low_ctr_visible_page,title_meta_rewrite,1
115,content_4182853d792c,client_349c41201b,3114,20,11.2,0.51,0.0,general_monitoring,monitor_performance,1
116,content_5cae1270b78a,client_19581e27de,431,22,21.8,0.23,0.0,general_monitoring,title_meta_rewrite,1
117,content_6e02c8d0cc61,client_f74efabef1,740,20,17.5,0.14,0.0,low_ctr_visible_page,title_meta_rewrite,1
118,content_a61fbc9adb01,client_6208ef0f77,5877,20,31.0,0.22,0.0,low_ctr_visible_page,title_meta_rewrite,1
119,content_0080113aa348,client_6208ef0f77,15176,104,19.1,0.94,0.0,general_monitoring,monitor_performance,0
120,content_46eaff5b4ae8,client_19581e27de,3,22,16.3,0.0,0.0,general_monitoring,title_meta_rewrite,1
121,content_7ddb8e8edef4,client_19581e27de,2113,104,5.0,0.38,0.0,page_one_decay_risk,title_meta_rewrite,0
122,content_824ddd97c0ae,client_bbb965ab0c,26,20,6.5,3.85,0.0,general_monitoring,monitor_performance,1
123,content_bcf2090ede32,client_349c41201b,7161,20,4.6,0.1,0.0,low_ctr_visible_page,title_meta_rewrite,0
124,content_b742273c02b3,client_19581e27de,1494,22,67.3,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
125,content_5883af3441ba,client_d4735e3a26,13,20,10.2,15.38,0.0,general_monitoring,monitor_performance,0
126,content_f54716ba9290,client_d4735e3a26,7,20,3.9,14.29,0.0,general_monitoring,monitor_performance,0
127,content_68521745e1e7,client_19581e27de,49,22,12.6,0.0,0.0,general_monitoring,title_meta_rewrite,1
128,content_5682ce609aa0,client_3fdba35f04,1038,20,13.8,0.19,0.0,low_ctr_visible_page,title_meta_rewrite,1
129,content_8f2559c3bc1b,client_6208ef0f77,740,104,5.7,0.0,0.0,page_one_decay_risk,title_meta_rewrite,1
130,content_73bdd1706363,client_19581e27de,16969,22,5.4,0.22,0.0,low_ctr_visible_page,title_meta_rewrite,0
131,content_47e23439a6ea,client_3fdba35f04,12377,26,10.6,0.57,0.0,general_monitoring,monitor_performance,0
132,content_cd51be5dfcdb,client_19581e27de,20757,22,3.8,0.09,0.0,low_ctr_visible_page,title_meta_rewrite,1
133,content_02950673a353,client_19581e27de,21304,20,4.4,0.83,0.0,general_monitoring,monitor_performance,0
134,content_669d78cacaec,client_19581e27de,5273,22,6.8,0.09,0.0,low_ctr_visible_page,title_meta_rewrite,1
135,content_be5e23c0a35e,client_f369cb89fc,82,20,21.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
136,content_02141810795a,client_4e07408562,1912,13,16.3,0.05,0.0,low_ctr_visible_page,title_meta_rewrite,1
137,content_d660fc1fba2c,client_8527a891e2,69,104,25.5,1.45,0.0,general_monitoring,monitor_performance,1
